27.9987 	EXP 	fixation: autoDraw = True
28.4985 	EXP 	fixation: autoDraw = False
28.4985 	EXP 	grating: autoDraw = True
28.7979 	EXP 	grating: autoDraw = False
29.2016 	DATA 	Keypress: right
29.2146 	EXP 	fixation: autoDraw = False
29.2146 	EXP 	grating: autoDraw = False
29.2146 	EXP 	grating: ori = 11.0
29.2146 	EXP 	fixation: autoDraw = True
29.7145 	EXP 	fixation: autoDraw = False
29.7145 	EXP 	grating: autoDraw = True
30.0144 	EXP 	grating: autoDraw = False
30.4188 	DATA 	Keypress: left
30.4308 	EXP 	fixation: autoDraw = False
30.4308 	EXP 	grating: autoDraw = False
30.4308 	EXP 	grating: ori = -12.0
30.4308 	EXP 	fixation: autoDraw = True
30.9307 	EXP 	fixation: autoDraw = False
30.9307 	EXP 	grating: autoDraw = True
31.2308 	EXP 	grating: autoDraw = False
31.3669 	DATA 	Keypress: right
32.1517 	DATA 	Keypress: right
32.1645 	EXP 	fixation: autoDraw = False
32.1645 	EXP 	grating: autoDraw = False
32.1645 	EXP 	grating: ori = -13.0
32.1645 	EXP 	fixation: autoDraw = True
32.6634 	EXP 	fixation: autoDraw = False
32.6634 	EXP 	grating: autoDraw = True
32.9635 	EXP 	grating: autoDraw = False
33.2823 	DATA 	Keypress: right
33.9840 	DATA 	Keypress: right
33.9962 	EXP 	fixation: autoDraw = False
33.9962 	EXP 	grating: autoDraw = False
33.9962 	EXP 	grating: ori = 14.0
33.9962 	EXP 	fixation: autoDraw = True
34.4964 	EXP 	fixation: autoDraw = False
34.4964 	EXP 	grating: autoDraw = True
34.7965 	EXP 	grating: autoDraw = False
35.2009 	DATA 	Keypress: right
35.2130 	EXP 	fixation: autoDraw = False
35.2130 	EXP 	grating: autoDraw = False
35.2130 	EXP 	grating: ori = 14.0
35.2130 	EXP 	fixation: autoDraw = True
35.7127 	EXP 	fixation: autoDraw = False
35.7127 	EXP 	grating: autoDraw = True
36.0123 	EXP 	grating: autoDraw = False
36.0833 	DATA 	Keypress: right
36.0956 	EXP 	fixation: autoDraw = False
36.0956 	EXP 	grating: autoDraw = False
36.0956 	EXP 	grating: ori = -14.0
36.0956 	EXP 	fixation: autoDraw = True
36.5959 	EXP 	fixation: autoDraw = False
36.5959 	EXP 	grating: autoDraw = True
36.8954 	EXP 	grating: autoDraw = False
36.9996 	DATA 	Keypress: right
37.0119 	EXP 	fixation: autoDraw = False
37.0119 	EXP 	grating: autoDraw = False
37.0119 	EXP 	grating: ori = 15.0
37.0119 	EXP 	fixation: autoDraw = True
37.5121 	EXP 	fixation: autoDraw = False
37.5121 	EXP 	grating: autoDraw = True
37.8121 	EXP 	grating: autoDraw = False
37.8496 	DATA 	Keypress: right
37.8616 	EXP 	fixation: autoDraw = False
37.8616 	EXP 	grating: autoDraw = False
37.8616 	EXP 	grating: ori = 15.0
37.8616 	EXP 	fixation: autoDraw = True
38.3614 	EXP 	fixation: autoDraw = False
38.3614 	EXP 	grating: autoDraw = True
38.6619 	EXP 	grating: autoDraw = False
39.3635 	DATA 	Keypress: right
40.5811 	DATA 	Keypress: right
40.5935 	EXP 	fixation: autoDraw = False
40.5935 	EXP 	grating: autoDraw = False
40.5935 	EXP 	grating: ori = -15.0
40.5935 	EXP 	fixation: autoDraw = True
41.0940 	EXP 	fixation: autoDraw = False
41.0940 	EXP 	grating: autoDraw = True
41.3936 	EXP 	grating: autoDraw = False
42.0627 	DATA 	Keypress: right
43.2117 	DATA 	Keypress: right
43.8806 	DATA 	Keypress: right
43.8934 	EXP 	fixation: autoDraw = False
43.8934 	EXP 	grating: autoDraw = False
43.8934 	EXP 	grating: ori = -16.0
43.8934 	EXP 	fixation: autoDraw = True
44.3930 	EXP 	fixation: autoDraw = False
44.3930 	EXP 	grating: autoDraw = True
44.6929 	EXP 	grating: autoDraw = False
45.1139 	DATA 	Keypress: right
45.1259 	EXP 	fixation: autoDraw = False
45.1259 	EXP 	grating: autoDraw = False
45.1259 	EXP 	grating: ori = -17.0
45.1259 	EXP 	fixation: autoDraw = True
45.6252 	EXP 	fixation: autoDraw = False
45.6252 	EXP 	grating: autoDraw = True
45.9253 	EXP 	grating: autoDraw = False
46.2945 	DATA 	Keypress: right
47.3462 	DATA 	Keypress: right
47.3587 	EXP 	fixation: autoDraw = False
47.3587 	EXP 	grating: autoDraw = False
47.3587 	EXP 	grating: ori = 18.0
47.3587 	EXP 	fixation: autoDraw = True
